window_pos,ref_feature,bootstrap_average,normalized_RF
0_100,WS10M,0.0,50.0
0_100,ALLSKY_SFC_SW_DWN,0.0,50.0
0_100,PRECTOTCORR,0.0,0.0
12000_12100,WS10M,0.0,33.33
