Region,DEC-FEB,MAR-MAY,JUN-AUG,SEP-NOV,id
Amur,23.15402867029165,20.23932031636184,15.989405997693192,18.489574064920085,AY035261
India,22.07821086912274,21.849028427980187,12.765161137119208,15.882631793201709,AY035272
Java,6.6111915535444945,6.704336349924585,8.598118401206637,8.992560331825038,AY035292
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035288
northChinese,25.157404411764706,30.721221813725492,23.138575980392158,28.87372058823529,AY035263
persian,22.281280276816613,26.48108491926182,23.02212658592849,23.98769824106113,AY035277
southArbian,21.002719633307866,19.832811306340716,16.96842627960275,19.26392666157372,AY035279
southChinese,16.35905695611578,13.53685807656396,7.816734360410831,12.914889122315593,AY035265
srilanka,8.030254901960785,8.943642156862746,7.1802794117647055,7.397490196078432,AY035268
India,22.07821086912274,21.849028427980187,12.765161137119208,15.882631793201709,AY035273
southChinese,16.35905695611578,13.53685807656396,7.816734360410831,12.914889122315593,AY035264
Amur,23.15402867029165,20.23932031636184,15.989405997693192,18.489574064920085,AY035260
India,22.07821086912274,21.849028427980187,12.765161137119208,15.882631793201709,AY035275
southChinese,16.35905695611578,13.53685807656396,7.816734360410831,12.914889122315593,AY035266
northChinese,25.157404411764706,30.721221813725492,23.138575980392158,28.87372058823529,AY035262
srilanka,8.030254901960785,8.943642156862746,7.1802794117647055,7.397490196078432,AY035269
srilanka,8.030254901960785,8.943642156862746,7.1802794117647055,7.397490196078432,AY035267
India,22.07821086912274,21.849028427980187,12.765161137119208,15.882631793201709,AY035274
persian,22.281280276816613,26.48108491926182,23.02212658592849,23.98769824106113,AY035278
India,22.07821086912274,21.849028427980187,12.765161137119208,15.882631793201709,AY035270
India,22.07821086912274,21.849028427980187,12.765161137119208,15.882631793201709,AY035271
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035289
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035290
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035280
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035281
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035284
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035282
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035283
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035285
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035286
centralAfrica,10.759733617131063,10.649576883384933,13.770119324045409,10.624017027863777,AY035287
